일자,식사,메뉴,작업자,대분류,중분류(재료1),중분류2(재료2),중분류3(재료3),중분류4(재료4),중분류5(재료5),소분류1(육류 종류만 기재),양식(western) 여부
2016.2.15,중식,연두부*양념장,편도연,단품류,두류,,,,,,
2016.2.15,중식,콩나물무침,편도연,무침류,채소류,,,,,,
2016.2.15,중식,요구르트,편도연,유제품,,,,,,,
2016.2.15,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.15,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.15,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.15,석식,홍합미역국,연제호,국탕류,어패류,해조류,,,,,
2016.2.15,석식,등갈비김치찜,문성일,찜류,육류,김치류,,,,돼지고기,
2016.2.15,석식,임연수구이,김윤수,구이류,어패류,,,,,,
2016.2.15,석식,브로컬리초장,편도연,찜류,채소류,,,,,,
2016.2.15,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.16,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.16,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.16,중식,쇠고기무국,편도연,국탕류,채소류,육류,,,,소,
2016.2.16,중식,탕수어,연제호,튀김류,어패류,,,,,,
2016.2.16,중식,오징어숙회무침,연제호,무침류,어패류,양념 및 장류,,,,,
2016.2.16,중식,취나물,편도연,무침류,채소류,,,,,,
2016.2.16,중식,요구르트,편도연,유제품,,,,,,,
2016.2.16,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.16,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.16,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.16,석식,된장찌개,연제호,찌개류,양념 및 장류,,,,,,
2016.2.16,석식,쇠불고기,편도연,볶음류,채소류,육류,,,,소,
2016.2.16,석식,해파리겨자채,문성일,무침류,해조류,채소류,,,,,
2016.2.16,석식,봄동무침,문성일,무침류,채소류,양념 및 장류,,,,,
2016.2.16,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.17,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.17,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.17,중식,냉이된장국,연제호,국탕류,채소류,양념 및 장류,,,,,
2016.2.17,중식,쇠고기장조림,문성일,조림류,육류,,,,,쇠고기,
2016.2.17,중식,통도라지구이,편도연,구이류,채소류,,,,,,
2016.2.17,중식,치커리무침,김윤수,무침류,채소류,,,,,,
2016.2.17,중식,요구르트,편도연,유제품,,,,,,,
2016.2.17,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.17,석식,볶음밥*자장소스,연제호,밥류,곡류,양념 및 장류,채소류,,,,
2016.2.17,석식,맑은국,김윤수,국탕류,채소류,,,,,,
2016.2.17,석식,새우또띠아,편도연,빵과자류,,,,,,,1
2016.2.17,석식,쨔샤이무침,김도민,무침류,채소류,,,,,,
2016.2.17,석식,요플레,김도민,유제품,과일류,,,,,,
2016.2.17,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.18,중식,낙지비빔밥,김도민,비빔밥볶음밥류,어패류,채소류,곡류,,,,
2016.2.18,중식,유부장국,김윤수,국탕류,두류,양념 및 장류,,,,,
2016.2.18,중식,고구마치즈구이,연제호,구이류,채소류,,,,,,
2016.2.18,중식,해초무침,김윤수,무침류,해조류,,,,,,
2016.2.18,중식,요구르트,편도연,유제품,,,,,,,
2016.2.18,중식,요구르트,편도연,유제품,,,,,,,
2016.2.18,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.18,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.18,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.18,석식,순두부찌개,문성일,찌개류,두류,,,,,,
2016.2.18,석식,명태조림,김도민,조림류,어패류,,,,,,
2016.2.18,석식,감자채볶음,연제호,볶음류,채소류,,,,,,
2016.2.18,석식,쌈만두,문성일,찜류,면류,육류,채소류,,,돼지,
2016.2.18,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.19,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.19,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.19,중식,대구찌개,편도연,찌개류,어패류,,,,,,
2016.2.19,중식,마늘간장치킨,김도민,튀김류,육류,양념 및 장류,,,,닭,
2016.2.19,중식,새송이버섯볶음,김도민,볶음류,채소류,,,,,,
2016.2.19,중식,돌나물무침,,무침류,채소류,양념 및 장류,,,,,
2016.2.19,중식,치킨무,연제호,장아찌류,채소류,,,,,,
2016.2.19,중식,요구르트,편도연,유제품,,,,,,,
2016.2.19,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.19,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.19,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.19,석식,설렁탕,문성일,국탕류,육류,,,,,소,
2016.2.19,석식,김치전,김윤수,전류,김치류,난류,,,,,
2016.2.19,석식,야채스틱,문성일,튀김류,채소류,,,,,,
2016.2.19,석식,바나나,김도민,단품류,과일류,,,,,,
2016.2.19,석식,석박지,편도연,무침류,채소류,,,,,,
2016.2.22,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.22,중식,오곡밥,,밥류,곡류,,,,,,
2016.2.22,중식,쇠고기느타리국,,국탕류,육류,채소류,,,,소,
2016.2.22,중식,갈치구이,문성일,구이류,어패류,,,,,,
2016.2.22,중식,호박꼬지&고사리&무나물,,무침류,채소류,양념 및 장류,,,,,
2016.2.22,중식,파래김*양념장,문성일,단품류,양념 및 장류,해조류,,,,,
2016.2.22,중식,부럼,,단품류,채소류,,,,,,
2016.2.22,중식,요구르트,편도연,유제품,,,,,,,
2016.2.22,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.22,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.22,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.22,석식,옹심이만두국,연제호,국탕류,채소류,만두류,,,,,
2016.2.22,석식,떡갈비조림,김도민,조림류,육류,,,,,소,
2016.2.22,석식,청포묵무침,문성일,무침류,묵류,양념 및 장류,,,,,
2016.2.22,석식,부추오이생채,연제호,무침류,채소류,,,,,,
2016.2.22,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.23,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.23,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.23,중식,콩나물국,김윤수,국탕류,채소류,,,,,,
2016.2.23,중식,돈육간장볶음,연제호,볶음류,육류,양념 및 장류,,,,돼지고기,
2016.2.23,중식,버섯잡채,연제호,볶음류,채소류,면류,,,,,
2016.2.23,중식,꽃상추무침,연제호,무침류,채소류,양념 및 장류,,,,,
2016.2.23,중식,요구르트,편도연,유제품,,,,,,,
2016.2.23,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.23,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.23,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.23,석식,콩비지찌개,문성일,찌개류, 두류,,,,,,
2016.2.23,석식,해물까스&타르타르소스,김도민,튀김류,어패류,곡류,난류,양념 및 장류,,,
2016.2.23,석식,볶음쌀국수,편도연,국수류,곡류,면류,채소류,,,,
2016.2.23,석식,미역레몬초무침,김도민,무침류,해조류,과일류,,,,,
2016.2.23,석식,통배추겉절이,김윤수,무침류,김치류,채소류,,,,,
2016.2.24,중식,비빔밥,연제호,밥류,곡류,채소류,,,,,
2016.2.24,중식,팽이장국,김윤수,국탕류,채소류,양념 및 장류,,,,,
2016.2.24,중식,소세지피망볶음,,볶음류,육류,채소류,양념 및 장류,,,돼지,
2016.2.24,중식,맛탕,문성일,튀김류,채소류,양념 및 장류,,,,,
2016.2.24,중식,귤,연제호,단품류,과일류,,,,,,
2016.2.24,중식,요구르트,편도연,유제품,,,,,,,
2016.2.24,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.24,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.24,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.24,석식,열무된장국,편도연,국탕류,채소류,양념 및 장류,,,,,
2016.2.24,석식,매운돼지갈비찜,김도민,찜류,육류,채소류,양념 및 장류,,,돼지,
2016.2.24,석식,멸치호두볶음,문성일,볶음류,어패류,,,,,,
2016.2.24,석식,숙주나물,김윤수,무침류,채소류,,,,,,
2016.2.24,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.25,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.25,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.25,중식,북어계란국,문성일,국탕류,어패류,난류,,,,,
2016.2.25,중식,닭갈비,연제호,볶음류,육류,채소류,,,,닭고기,
2016.2.25,중식,새싹두부구이,편도연,구이류,두류,채소류,,,,,
2016.2.25,중식,곰피초장,김윤수,샐러드류,양념 및 장류,채소류,,,,,
2016.2.25,중식,요구르트,편도연,유제품,,,,,,,
2016.2.25,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.25,석식,김밥,김도민,김(초)밥류,육류,해조류,채소류,,,돼지,
2016.2.25,석식,잔치국수,편도연,국수류,면류,,,,,,
2016.2.25,석식,교자만두,김윤수,찜류,육류,난류,면류,,,돼지,
2016.2.25,석식,멕시칸샐러드,연제호,샐러드류,채소류,어패류,양념 및 장류,,,,
2016.2.25,석식,무피클,문성일,단품류,채소류,,,,,,
2016.2.25,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.26,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.26,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.26,중식,수제비국,문성일,국탕류,면류,채소류,,,,,
2016.2.26,중식,오징어볶음,편도연,볶음류,어패류,채소류,양념 및 장류,,,,
2016.2.26,중식,계란찜,김도민,찜류,난류,채소류,,,,,
2016.2.26,중식,도라지초무침,편도연,무침류,채소류,,,,,,
2016.2.26,중식,요구르트,편도연,유제품,,,,,,,
2016.2.26,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.26,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.26,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.26,석식,닭개장,김윤수,국탕류,육류,,,,,닭,
2016.2.26,석식,삼치구이,문성일,구이류,어패류,,,,,,
2016.2.26,석식,꽃맛살볶음,김도민,볶음류,어패류,채소류,,,,,
2016.2.26,석식,청경채사과무침,김윤수,무침류,과일류,채소류,양념 및 장류,,,,
2016.2.26,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.29,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.29,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.29,중식,얼갈이된장국,김도민,국탕류,채소류,양념 및 장류,,,,,
2016.2.29,중식,제육볶음,김윤수,볶음류,육류,,,,,돼지,
2016.2.29,중식,늙은호박전,문성일,전류,채소류,,,,,,
2016.2.29,중식,치커리생채,김윤수,무침류,채소류,,,,,,
2016.2.29,중식,요구르트,편도연,유제품,,,,,,,
2016.2.29,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.29,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.29,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.29,석식,버섯들깨탕,편도연,국탕류,채소류,,,,,,
2016.2.29,석식,꽁치한마리구이,김윤수,구이류,어패류,,,,,,
2016.2.29,석식,두부양념조림,문성일,조림류,두류,양념 및 장류,,,,,
2016.2.29,석식,구이김,문성일,구이류,해조류,,,,,,
2016.2.29,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.2,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.2,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.2,중식,쇠고기미역국,김윤수,국탕류,해조류,육류,,,,소,
2016.3.2,중식,주꾸미볶음,김도민,볶음류,어패류,양념 및 장류,채소류,,,,
2016.3.2,중식,맛살계란말이,,튀김류,난류,어패류,,,,,
2016.3.2,중식,아삭고추무침,문성일,무침류,채소류,,,,,,
2016.3.2,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.2,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.2,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.2,석식,된장찌개,연제호,찌개류,양념 및 장류,,,,,,
2016.3.2,석식,버섯불고기,편도연,볶음류,육류,채소류,,,,육류(소),
2016.3.2,석식,콩나물겨자채,연제호,무침류,채소류,양념 및 장류,,,,,
2016.3.2,석식,양념깻잎지,문성일,장아찌류,채소류,양념 및 장류,,,,,
2016.3.2,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.3,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.3,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.3,중식,근대된장국,연제호,국탕류,채소류,양념 및 장류,,,,,
2016.3.3,중식,탕수육,편도연,튀김류,육류,,,,,육류(돼지),
2016.3.3,중식,새송이버섯조림,문성일,조림류,채소류,양념 및 장류,,,,,
2016.3.3,중식,무생채,김윤수,무침류,채소류,,,,,,
2016.3.3,중식,요구르트,편도연,유제품,,,,,,,
2016.3.3,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.3,석식,멸치주먹밥,김도민,김(초)밥류,어패류,곡류,,,,,
2016.3.3,석식,우동,문성일,국탕류,면류,,,,,,
2016.3.3,석식,떡볶이,김도민,볶음류,떡류,,,,,,
2016.3.3,석식,군고구마,연제호,단품류,채소류,,,,,,
2016.3.3,석식,단무지,편도연,장아찌류,채소류,,,,,,
2016.3.3,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.4,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.4,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.4,중식,부대찌개,김도민,찌개류,육류,난류,,,,돼지고기,
2016.3.4,중식,가자미튀김,김도민,튀김류,어패류,곡류,난류,,,,
2016.3.4,중식,메추리알조림,김도민,조림류,난류,,,,,,
2016.3.4,중식,열무된장나물,김윤수,무침류,채소류,,,,,,
2016.3.4,중식,깍두기,연제호,무침류,김치류,,,,,,
2016.3.4,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.4,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.4,석식,오징어국,김도민,국탕류,어패류,채소류,,,,,
2016.3.4,석식,미트볼조림,김도민,조림류,육류,,,,,소,돼지
2016.3.4,석식,옥수수전,연제호,전류,채소류,,,,,,
2016.3.4,석식,부추생채,편도연,무침류,채소류,,,,,,
2016.3.4,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.7,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.7,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.7,중식,콩나물국,김윤수,국탕류,채소류,,,,,,
2016.3.7,중식,닭갈비,연제호,볶음류,육류,채소류,,,,닭고기,
2016.3.7,중식,모둠묵*양념장,연제호,무침류,묵류,양념 및 장류,,,,,
2016.3.7,중식,톳두부무침,편도연,무침류,해조류,두류,,,,,
2016.3.7,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.7,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.7,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.7,석식,대구찌개,편도연,찌개류,어패류,,,,,,
2016.3.7,석식,돈육굴소스볶음,김도민,볶음류,육류,,,,,돼지고기,
2016.3.7,석식,감자채볶음,연제호,볶음류,채소류,,,,,,
2016.3.7,석식,물파래무침,김도민,무침류,해조류,,,,,,
2016.3.7,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.8,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.8,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.8,중식,차돌박이찌개,편도연,찌개류,육류,채소류,양념 및 장류,,,육류(소),
2016.3.8,중식,고등어김치말이,연제호,찜류,어패류,김치류,,,,,
2016.3.8,중식,소세지구이,,구이류,육류,,,,,돼지,
2016.3.8,중식,풋마늘초무침,문성일,무침류,채소류,양념 및 장류,,,,,
2016.3.8,중식,깍두기,연제호,무침류,김치류,,,,,,
2016.3.8,석식,카레덮밥,문성일,밥류,양념 및 장류,,,,,,
2016.3.8,석식,가쯔오장국,연제호,국탕류,양념 및 장류,,,,,,
2016.3.8,석식,수제고로케*케찹,김윤수,튀김류,곡류,난류,채소류,양념 및 장류,,,
2016.3.8,석식,과일샐러드,연제호,샐러드류,과일류,,,,,,
2016.3.8,석식,오복지,김윤수,장아찌류,채소류,,,,,,
2016.3.8,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.9,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.9,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.9,중식,북어국,연제호,국탕류,어패류,,,,,,
2016.3.9,중식,돈육장조림,연제호,조림류,육류,,,,,돼지고기,
2016.3.9,중식,홍어무침,,무침류,어패류,양념 및 장류,,,,,
2016.3.9,중식,시금치나물,김윤수,무침류,채소류,,,,,,
2016.3.9,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.9,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.9,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.9,석식,육개장,문성일,국탕류,채소류,육류,,,,,
2016.3.9,석식,생선까스*탈탈소스,김도민,튀김류,어패류,난류,곡류,양념 및 장류,,,
2016.3.9,석식,야채계란찜,김도민,찜류,난류,채소류,,,,,
2016.3.9,석식,콩나물무침,편도연,무침류,채소류,,,,,,
2016.3.9,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.10,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.10,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.10,중식,고추장찌개,김도민,찌개류,양념 및 장류,채소류,,,,,
2016.3.10,중식,닭데리야끼조림,김윤수,조림류,육류,채소류,,,,닭,
2016.3.10,중식,해물파전,연제호,전류,어패류,,,,,,
2016.3.10,중식,취나물,편도연,무침류,채소류,,,,,,
2016.3.10,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.10,석식,볶음밥,연제호,밥류,곡류,,,,,,
2016.3.10,석식,짬뽕,연제호,국탕류,면류,채소류,어패류,,,,
2016.3.10,석식,개성감자만두,연제호,찜류,만두류,,,,,,
2016.3.10,석식,타코야끼,연제호,전류,어패류,,,,,,
2016.3.10,석식,꼬들단무지,김도민,장아찌류,채소류,,,,,,
2016.3.10,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.11,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.11,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.11,중식,배추된장국,김윤수,국탕류,채소류,양념 및 장류,,,,,
2016.3.11,중식,수제돈가스,김도민,튀김류,육류,,,,,돼지고기,
2016.3.11,중식,탕평채,편도연,무침류,채소류,,,,,,
2016.3.11,중식,쫄면무침,문성일,무침류,채소류,면류,,,,,
2016.3.11,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.11,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.11,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.11,석식,연두부탕,편도연,국탕류,두류,,,,,,
2016.3.11,석식,코다리무조림,김윤수,조림류,어패류,,,,,,
2016.3.11,석식,고추잡채*꽃빵,연제호,볶음류,육류,채소류,,,,돼지고기,
2016.3.11,석식,봄동겉절이,연제호,무침류,채소류,양념 및 장류,,,,,
2016.3.11,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.3.14,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.3.14,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.3.14,중식,어묵국,김도민,국탕류,어패류,,,,,,
