메뉴,작업자,대분류,중분류(재료1),중분류2(재료2),중분류3(재료3),중분류4(재료4),중분류5(재료5),소분류1(육류 종류만 기재),양식(western) 여부,,,,,
꼬시래기초무침,김도민,무침류,해조류,양념 및 장류,,,,,,,,,,
쇠고기가지조림,김도민,조림류,육류,채소류,,,,소,,,,,,
군만두,김도민,튀김류,육류,채소류,곡류,,,돼지,,,,,,
쫄면,김도민,국수류,곡류,채소류,양념 및 장류,,,,,,,,,
우동국물,김도민,국탕류,어패류,,,,,,,,,,,
생선까스*탈탈소스,김도민,튀김류,어패류,난류,곡류,양념 및 장류,,,,,,,,
김치도토리묵무침,김도민,무침류,김치류,묵류,채소류,,,,,,,,,
미역소고기죽,김도민,죽류,육류,해조류,곡류,,,,,,,,,
수제마늘바게트,김도민,빵과자류,채소류,곡류,난류,,,,,,,,,
멸치고추장볶음,김도민,볶음류,어패류,양념 및 장류,,,,,,,,,,
마늘바게트,김도민,빵과자류,채소류,곡류,난류,,,,,,,,,
시금치초무침,김도민,무침류,채소류,,,,,,,,,,,
브로콜리맛살볶음,김도민,볶음류,어패류,채소류,,,,,,,,,,
사각어묵볶음,김도민,볶음류,어패류,채소류,,,,,,,,,,
메론빵,김도민,빵과자류,곡류,난류,,,,,,,,,,
짬뽕수제비국,김도민,국탕류,어패류,채소류,곡류,,,,,,,,,
꽃맛살샐러드,김도민,샐러드류,어패류,채소류,,,,,,,,,,
오징어국,김도민,국탕류,어패류,채소류,,,,,,,,,,
연근샐러드,김도민,샐러드류,채소류,,,,,,,,,,,
고구마파이,김도민,빵과자류,곡류,난류,,,,,,,,,,
얼갈이국,김도민,국탕류,채소류,두류,,,,,,,,,,
섬초무침,김도민,무침류,채소류,,,,,,,,,,,
애호박새우젓볶음,김도민,볶음류,채소류,어패류,양념 및 장류,,,,,,,,,
날치알계란찜,김도민,찜류,어패류,난류,,,,,,,,,,
고추장불고기,김도민,볶음류,육류,채소류,양념 및 장류,,,돼지,,,,,,
미나리나물,김도민,무침류,채소류,,,,,,,,,,,
해물까스&타르타르소스,김도민,튀김류,어패류,곡류,난류,양념 및 장류,,,,,,,,
봄동나물,김도민,무침류,채소류,,,,,,,,,,,
모듬어묵탕,김도민,국탕류,어패류,채소류,,,,,,,,,,
마늘쫑건새우무침,김도민,무침류,채소류,어패류,,,,,,,,,,
계란야채말이,김도민,찜류,난류,채소류,,,,,,,,,,
새송이너비아니구이,김도민,구이류,육류,채소류,,,,돼지,,,,,,
오징어젓갈무침,김도민,무침류,어패류,양념 및 장류,,,,,,,,,,
등뼈김치찜,김도민,찜류,육류,김치류,,,,돼지,,,,,,
연근,김도민,조림류,채소류,,,,,,,,,,,
사골옹심이만둣국,김도민,국탕류,만두류,곡류,,,,돼지,,,,,,
양파절임,김도민,장아찌류,채소류,,,,,,,,,,,
김밥,김도민,김(초)밥류,육류,해조류,채소류,,,돼지,,,,,,
해물부추전,김도민,전류,곡류,난류,어패류,채소류,,,,,,,,
카스테라,김도민,빵과자류,곡류,난류,,,,,,,,,,
게살모닝샌드위치,김도민,빵과자류,어패류,난류,곡류,채소류,,,,,,,,
옹심이만두떡국,김도민,국탕류,만두류,떡류,곡류,채소류,,,,,,,,
코다리조림,김도민,조림류,어패류,채소류,양념 및 장류,,,,,,,,,
맑은만두국,김도민,국탕류,만두류,채소류,,,,,,,,,,
삼치조림,김도민,조림류,어패류,채소류,양념 및 장류,,,,,,,,,
얼큰순두부찌개,김도민,찌개류,두류,채소류,,,,,,,,,,
채소새우죽,김도민,죽류,채소류,어패류,,,,,,,,,,
구운계란,김도민,구이류,난류,,,,,,,,,,,
군대리아,김도민,빵과자류,육류,채소류,난류,곡류,,돼지,,,,,,
스콘,김도민,빵과자류,곡류,난류,,,,,,,,,,
맑은버섯닭개장,김도민,국탕류,육류,채소류,,,,닭,,,,,,
무말랭이,김도민,무침류,채소류,,,,,,,,,,,
취나물땅콩무침,김도민,무침류,채소류,두류,,,,,,,,,,
장각닭죽,김도민,죽류,육류,채소류,,,,닭,,,,,,
짬뽕국,김도민,국탕류,어패류,채소류,,,,,,,,,,
깐쇼새우,김도민,튀김류,어패류,곡류,난류,,,,,,,,,
떡국,김도민,국탕류,곡류,난류,채소류,,,,,,,,,
수제핫도그,김도민,빵과자류,육류,곡류,난류,,,돼지,,,,,,
볶음밥&짜장소스,김도민,비빔밥볶음밥류,육류,곡류,난류,체소류,,돼지,,,,,,
고추튀김*장,김도민,튀김류,채소류,곡류,난류,양념 및 장류,,,,,,,,
해초배무침,김도민,무침류,해조류,과일류,,,,,,,,,,
해물까스*탈탈소스,김도민,튀김류,어패류,곡류,난류,양념 및 장류,,,,,,,,
동전쥐포무침,김도민,무침류,어패류,,,,,,,,,,,
옛날돈가스,김도민,튀김류,육류,곡류,난류,,,돼지,,,,,,
삼선짬뽕국*칼국수,김도민,국탕류,어패류,채소류,면류,,,,,,,,,
마늘쫑메추리알장조림,김도민,조림류,채소류,난류,,,,,,,,,,
호박채볶음,김도민,볶음류,채소류,,,,,,,,,,,
김치볶음밥,김도민,밥류,육류,김치류,곡류,,,돼지,,,,,,
소고기퀘사디아,김도민,빵과자류,육류,채소류,곡류,,,소,,,,,,
계란말이,김도민,구이류,난류,,,,,,,,,,,
어묵매운탕,김도민,국탕류,어패류,채소류,,,,,,,,,,
청경채김치,김도민,무침류,김치류,채소류,,,,,,,,,,
모둠소시지구이,김도민,구이류,육류,채소류,,,,돼지,,,,,,
우엉채조림,김도민,조림류,채소류,,,,,,,,,,,
베이컨맥모닝,김도민,빵과자류,육류,채소류,난류,,,돼지,,,,,,
딸기드레싱샐러드,김도민,샐러드류,채소류,과일류,,,,,,,,,,
매운버섯국,김도민,국탕류,채소류,,,,,,,,,,,
짬뽕수제비,김도민,국탕류,어패류,곡류,채소류,,,,,,,,,
낙지젓무침,김도민,무침류,어패류,양념 및 장류,,,,,,,,,,
더덕고추장불고기,김도민,구이류,육류,채소류,,,,돼지,,,,,,
미트볼파스타*추가밥,김도민,국수류,육류,면류,채소류,,,돼지,,,,,,
낙지비빔밥,김도민,비빔밥볶음밥류,어패류,채소류,곡류,,,,,,,,,
꼬들단무지,김도민,장아찌류,채소류,,,,,,,,,,,
가자미튀김,김도민,튀김류,어패류,곡류,난류,,,,,,,,,
느타리버섯볶음,김도민,볶음류,채소류,,,,,,,,,,,
감자맛살볶음,김도민,볶음류,채소류,어패류,,,,,,,,,,
애호박새우젓국,김도민,국탕류,채소류,양념 및 장류,,,,,,,,,,
계란김밥,김도민,김(초)밥류,난류,해조류,곡류,,,,,,,,,
물파래무침,김도민,무침류,해조류,,,,,,,,,,,
삼치구이*데리야끼소스,김도민,구이류,어패류,양념 및 장류,난류,곡류,,,,,,,,
어떡햄,김도민,구이류,육류,떡류,,,,돼지,,,,,,
미트볼채소볶음,김도민,볶음류,육류,채소류,,,,돼지,,,,,,
김주먹밥,김도민,김(초)밥류,해조류,곡류,,,,,,,,,,
치즈함박스테이크,김도민,구이류,육류,양념 및 장류,,,,돼지,,,,,,
꼬막채소무침,김도민,무침류,어패류,채소류,양념 및 장류,,,,,,,,,
알타리김치,김도민,김치류,김치류,,,,,,,,,,,
참나물생채무침,김도민,무침류,채소류,,,,,,,,,,,
치커리깨소스무침,김도민,무침류,채소류,곡류,,,,,,,,,,
돈육고추장볶음,김도민,볶음류,육류,양념 및 장류,채소류,,,돼지,,,,,,
아욱된장국,김도민,국탕류,채소류,양념 및 장류,,,,,,,,,,
두부구이*양념,김도민,구이류,두류,양념 및 장류,,,,,,,,,,
와플,김도민,빵과자류,곡류,난류,,,,,,,,,,
표고버섯죽,김도민,죽류,채소류,곡류,,,,,,,,,,
돌나물유자청무침,김도민,무침류,채소류,과일류,,,,,,,,,,
등뼈묵은지찜,김도민,찜류,육류,김치류,,,,돼지,,,,,,
크림스프,김도민,국탕류,곡류,,,,,,,,,,,
와플&생크림,김도민,빵과자류,곡류,난류,,,,,,,,,,
삼겹살야채비빔면,김도민,국수류,육류,채소류,양념 및 장류,면류,,돼지,,,,,,
돼지국밥,김도민,덮밥국밥류,육류,곡류,,,,돼지,,,,,,
주꾸미채소볶음,김도민,볶음류,어패류,채소류,양념 및 장류,,,,,,,,,
감자국,김도민,국탕류,채소류,,,,,,,,,,,
브로콜리감자볶음,김도민,볶음류,채소류,,,,,,,,,,,
절편,김도민,단품류,떡류,,,,,,,,,,,
돈육김치찌개,김도민,찌개류,육류,김치류,,,,돼지,,,,,,
크림롤케익,김도민,빵과자류,곡류,난류,,,,,,,,,,
꽃맛살볶음,김도민,볶음류,어패류,채소류,,,,,,,,,,
앙버터모닝빵,김도민,빵과자류,곡류,난류,,,,,,,,,,
매실쥬스,김도민,음료 및 주류,과일류,,,,,,,,,,,
청포도피클,김도민,장아찌류,과일류,,,,,,,,,,,
실곤약초무침,김도민,무침류,묵류,,,,,,,,,,,
도라지오이초무침,김도민,무침류,채소류,,,,,,,,,,,
시금치국,김도민,국탕류,채소류,양념 및 장류,,,,,,,,,,
유부초밥,김도민,김(초)밥류,곡류,,,,,,,,,,,
채소쌈*쌈장,김도민,샐러드류,채소류,양념 및 장류,,,,,,,,,,
곤약어묵볶음,김도민,볶음류,어패류,묵류,,,,,,,,,,
콘치즈구이,김도민,구이류,곡류,,,,,,,,,,,
계란후라이,김도민,구이류,난류,,,,,,,,,,,
풋고추,김도민,샐러드류,채소류,,,,,,,,,,,
찐빵,김도민,빵과자류,난류,곡류,,,,,,,,,,
부추무침,김도민,무침류,채소류,,,,,,,,,,,
쨔샤이무침,김도민,무침류,채소류,,,,,,,,,,,
단호박조림,김도민,조림류,채소류,,,,,,,,,,,
미니국수,김도민,국수류,면류,채소류,,,,,,,,,,
무나물들깨볶음,김도민,볶음류,채소류,곡류,,,,,,,,,,
오이맛살무침,김도민,무침류,채소류,어패류,,,,,,,,,,
참나물,김도민,무침류,채소류,,,,,,,,,,,
초코핫케익,김도민,빵과자류,난류,곡류,,,,,,,,,,
소고기주먹밥,김도민,김(초)밥류,육류,,,,,소,,,,,,
미더덕콩나물찜,김도민,찜류,어패류,채소류,,,,,,,,,,
케찹,김도민,단품류,양념 및 장류,,,,,,,,,,,
가자미양념찜,김도민,찜류,어패류,양념 및 장류,,,,,,,,,,
매운돼지갈비찜,김도민,찜류,육류,채소류,양념 및 장류,,,돼지,,,,,,
단팥빵,김도민,빵과자류,곡류,난류,,,,,,,,,,
낙지미나리볶음,김도민,볶음류,어패류,채소류,양념 및 장류,,,,,,,,,
두부계란구이,김도민,구이류,두류,난류,,,,,,,,,,
돈육씨앗강정,김도민,튀김류,육류,두류,난류,곡류,,돼지,,,,,,
가지양파무침,김도민,무침류,채소류,,,,,,,,,,,
쇠미역쌈*강된장,김도민,샐러드류,해조류,양념 및 장류,,,,,,,,,,
에그단호박샌드,김도민,빵과자류,난류,채소류,난류,곡류,,,,,,,,
순두부탕,김도민,국탕류,두류,채소류,,,,,,,,,,
도라지무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
삼겹살김치볶음,김도민,볶음류,육류,김치류,채소류,,,돼지,,,,,,
사과오이생채,김도민,무침류,과일류,채소류,,,,,,,,,,
진미채간장조림,김도민,조림류,어패류,,,,,,,,,,,
간장치킨,김도민,튀김류,육류,곡류,,,,,,,,,,
김치수제비국,김도민,국탕류,김치류,곡류,채소류,,,,,,,,,
보리누룽지탕,김도민,국탕류,곡류,,,,,,,,,,,
늙은호박죽,김도민,죽류,채소류,,,,,,,,,,,
새우볶음밥,김도민,밥류,어패류,곡류,,,,,,,,,,
파래김*달래양념장,김도민,밥류,해조류,양념 및 장류,채소류,,,,,,,,,
김치우동,김도민,국수류,면류,김치류,,,,,,,,,,
마늘간장치킨,김도민,튀김류,육류,양념 및 장류,,,,닭,,,,,,
돌나물오이무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
소고기메추리알장조림,김도민,조림류,육류,난류,양념 및 장류,,,소,,,,,,
쌈추전*간장,김도민,전류,난류,곡류,채소류,양념 및 장류,,,,,,,,
매운콩나물무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
쭈꾸미불고기,김도민,볶음류,육류,어패류,양념 및 장류,,,돼지,,,,,,
민물새우찌깨,김도민,찌개류,어패류,,,,,,,,,,,
주꾸미초무침,김도민,무침류,어패류,채소류,,,,,,,,,,
샐러리샐러드,김도민,샐러드류,채소류,,,,,,,,,,,
느타리호박볶음,김도민,볶음류,채소류,,,,,,,,,,,
임연수찜,김도민,찜류,어패류,,,,,,,,,,,
청경채나물,김도민,무침류,채소류,,,,,,,,,,,
주꾸미볶음,김도민,볶음류,어패류,양념 및 장류,채소류,,,,,,,,,
촉촉한치즈케익,김도민,빵과자류,난류,곡류,,,,,,,,,,
버섯굴죽,김도민,죽류,채소류,어패류,,,,,,,,,,
아삭이고추무절임,김도민,장아찌류,채소류,,,,,,,,,,,
그린샐러드,김도민,샐러드류,채소류,,,,,,,,,,,
미트볼피망볶음,김도민,볶음류,육류,채소류,,,,돼지,,,,,,
섭산적표고굴소스볶음,김도민,볶음류,육류,채소류,어패류,양념 및 장류,두류,소,,,,,,
사과파이,김도민,빵과자류,난류,곡류,,,,,,,,,,
건포도머핀,김도민,빵과자류,난류,곡류,,,,,,,,,,
건새우마늘쫑볶음,김도민,볶음류,어패류,채소류,,,,,,,,,,
사과푸딩,김도민,유제품,과일류,,,,,,,,,,,
바지락죽,김도민,죽류,어패류,곡류,,,,,,,,,,
꼬지어묵국,김도민,국탕류,묵류,어패류,,,,,,,,,,
샐러드김밥,김도민,밥류,채소류,곡류,,,,,,,,,,
미역레몬초무침,김도민,무침류,해조류,과일류,,,,,,,,,,
새송이버섯볶음,김도민,볶음류,채소류,,,,,,,,,,,
닭칼국수,김도민,국탕류,육류,면류,,,,닭,,,,,,
모듬묵*양념장,김도민,단품류,묵류,양념 및 장류,,,,,,,,,,
고기완자전&케찹,김도민,전류,육류,,,,,돼지,,,,,,
에그갈릭토스트,김도민,빵과자류,난류,,,,,,,,,,,
누룽지탕죽,김도민,죽류,곡류,,,,,,,,,,,
떡볶이,김도민,볶음류,떡류,,,,,,,,,,,
바나나,김도민,단품류,과일류,,,,,,,,,,,
야채계란찜,김도민,찜류,난류,채소류,,,,,,,,,,
오이소박이,김도민,무침류,채소류,,,,,,,,,,,
프레즐,김도민,빵과자류,곡류,,,,,,,,,,,
참치김치볶음,김도민,볶음류,어패류,김치류,,,,,,,,,,
블루베리드레싱샐러드,김도민,샐러드류,과일류,채소류,,,,,,,,,,
얼큰감자국,김도민,국탕류,채소류,,,,,,,,,,,
오리불고기,김도민,볶음류,육류,,,,,오리,,,,,,
유린기,김도민,튀김류,육류,,,,,닭,,,,,,
스팸구이,김도민,구이류,육류,,,,,돼지,,,,,,
청경채찜,김도민,찜류,채소류,,,,,,,,,,,
오징어순대볶음,김도민,볶음류,어패류,육류,,,,돼지,,,,,,
떡갈비조림,김도민,조림류,육류,,,,,소,,,,,,
미니채소떡갈비,김도민,튀김류,육류,채소류,,,,소,,,,,,
닭데리야끼구이,김도민,구이류,육류,,,,,,,,,,,
비엔나케찹볶음,김도민,볶음류,육류,,,,,돼지,,,,,,
부추생채무침,김도민,무침류,채소류,,,,,,,,,,,
이색전*양념장,김도민,전류,채소류,양념 및 장류,난류,,,,,,,,,
어묵탕,김도민,국탕류,어패류,채소류,,,,,,,,,,
양파장아찌,김도민,장아찌류,채소류,,,,,,,,,,,
단호박달걀찜,김도민,찜류,채소류,난류,,,,,,,,,,
브로콜리숙회*초장,김도민,찜류,채소류,,,,,,,,,,,
건새우아욱국,김도민,국탕류,어패류,채소류,,,,,,,,,,
닭살채소굴소스볶음,김도민,볶음류,육류,채소류,양념 및 장류,,,닭,,,,,,
닭카레볶음,김도민,볶음류,육류,양념 및 장류,채소류,,,닭,,,,,,
다슬기아욱국,김도민,국탕류,어패류,채소류,,,,,,,,,,
오이사과생채,김도민,무침류,채소류,과일류,,,,,,,,,,
*발사믹소스,김도민,,,,,,,,,,,,,
우육비빔냉면,김도민,국수류,육류,면류,,,,소,,,,,,
유채나물,김도민,무침류,채소류,,,,,,,,,,,
시래기들개탕,김도민,국탕류,채소류,,,,,,,,,,,
황태미역국,김도민,국탕류,어패류,해조류,,,,,,,,,,
락교,김도민,장이찌류,채소류,,,,,,,,,,,
연근깨소스무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
호박젓국찌개,김도민,찌개류,채소류,두류,,,,,,,,,,
치커리단감무침,김도민,무침류,채소류,과일류,,,,,,,,,,
쫑상추새콤무침,김도민,무침류,채소류,,,,,,,,,,,
치킨핑거*요거트D,김도민,튀김류,육류,,,,,닭,,,,,,
연두부국,김도민,국탕류,두류,,,,,,,,,,,
어묵국,김도민,국탕류,어패류,,,,,,,,,,,
