video_id,title,published_at,description,tags,duration,view_count,likes,dislikes,comment_count
5U0Mqr8Twto,"3개월 만에 찾은 헬스장, 회사원VLOG",2021-02-12T04:46:55Z,"여러분 안녕하세요 경돼입니다.

즐거운 설 연휴 보내세요!

Be more positive.


------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,설연휴,직장인,헬스유튜버,회사원vlog,직장인vlog,회사원,korean vlog,korean vlogger",PT17M22S,3229,106,5,35
gVAVBuKfya8,2021 직장인 운동브이로그(VLOG),2021-01-24T10:21:07Z,"여러분 안녕하세요 경돼입니다.



------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------
Song: Jay Someday - HaVe A gOoD tImE
Music provided by Vlog No Copyright Music.
Creative Commons - Attribution 3.0 Unported
Video Link: https://youtu.be/W0nLH5TuvyQ

Song: ACN8 - Across The Sea
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/pqelaUYbN2s","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,브이로그,직장인브이로그,회사원브이로그,직장인",PT11M32S,3544,133,12,45
2c_b7d62xCo,3대500 vs 날계란 영혼의 맞다이...,2021-01-12T09:47:06Z,"여러분 안녕하세요 경돼입니다.


하하........



발렸다.......



Be more positive.



------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,계란,계란 한손,계란깨기,3대500,악력",PT2M30S,2657,124,2,44
v8NUx1NaIV4,오랜만에 인사드립니다!,2021-01-10T05:42:49Z,"여러분 안녕하세요 경돼입니다.

오랜만에 인사 드리네요.

모두 새해복 많이 받으시고, 항상 건강하시기를!


경돼 올림.



-------------------------------------------------------------------------------

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,운동 브이로그,경돼 브이로그,2021,새해인사",PT7M26S,5905,301,15,144
GoqO4SqYQQM,5x8x10 홈트레이닝(마이프로틴 대란 안내 9/9),2020-09-08T10:28:05Z,"여러분 안녕하세요 경돼입니다.

집에서 운동하는 날이 많아지면서.... 저도 홈트 영상을 한번 찍어봤습니다

영상 재밌게 시청 부탁 드려요 ㅎㅎ







-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779
-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,홈트레이닝,경돼홈트,홈트 루틴,맨몸운동,경돼맨몸운동,경돼루틴,집에서 운동,집에서 운동하는법",PT24M,4523,61,18,49
eFeE-FZe4_M,"직장인 다이어트, 하루하루 쌓다보니 -12kg....│2020 썸머슈레딩 Ep06",2020-08-22T14:25:38Z,"여러분 안녕하세요 경돼입니다.



-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,썸머슈레딩,경돼 운동브이로그,summershredding,다이어트,현실 다이어트,직장인 다이어트",PT9M45S,8418,,,
QK9pqWVBfFE,다이어트 중 교촌 먹어 버리기│2020 썸머슈레딩 Ep05,2020-08-17T12:00:07Z,"여러분 안녕하세요 경돼입니다.

영상 속에서 제가 소개한 운동 모티베이션 영상은 아래 링크로 공유드릴게요!
https://www.youtube.com/watch?v=gBFj6uczwds


2020 썸머슈레딩 에피소드 5편
여러분들도 모두 화이팅입니다!

Be more positive.


-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,2020 썸머슈레딩,summershredding,운동 브이로그,경돼 운동,경돼 피지크,교촌,교촌치킨,경돼 교촌,썸머슈레딩 에피소드5편,썸머슈레딩 Ep05",PT9M51S,4114,90,19,40
fx46_GOo_ms,돼지고기가 성실히 운동하니까 변화가 생기기 시작했다│2020 썸머슈레딩 Ep04,2020-08-14T11:15:35Z,"#2020썸머슈레딩 #다이어트 #직장인브이로그

여러분 안녕하세요 경돼입니다.

대한득근만세, 광복절 득근지원 타임세일

* 마이프로틴 상반기 최대 할인 있습니다 
8/14 밤8시부터 8/15일 밤24시까지
bit.ly/KWLee 링크클릭후! 
최종결제란 KWLEE 입력하면  추가 43% 할인 받으실수있습니다!
(회원가입시추천인: DWUV-R2)

* 이벤트 내용
* 전제품 최대 81.5%OFF 타임세일 특가+경돼 할인코드(KWLEE) 입력시 추가 43% 할인
* 12만원/16만원/20만원이상 구매시 사은품 증정

-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,썸머슈레딩,경돼 다이어트,-10kg,10kg감량,10kg,summershredding,2020썸머슈레딩,korean vlog,운동 브이로그",PT4M28S,3802,89,14,36
gkmfepaHejM,체중이 계속 빠지는 운동 VLOG│2020 썸머슈레딩 Ep03,2020-08-12T21:39:58Z,"#2020썸머슈레딩 #다이어트 #칼로리
여러분 안녕하세요 경돼입니다.

썸머슈레딩 에피소드 3편 영상으로 찾아왔습니다.

체중 감량은 무리 없이 잘 진행되고 있는 것 같네요!

유튜브보다 조금 더 실시간으로 소식을 보고 싶은 분들은 
https://www.instagram.com/kw1000lbs/
이쪽으로!!

그러면 모두 Be more positive.




-------------------------------------------------------------------------------

소고기/닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,썸머슈레딩,2020썸머슈레딩,2020썸머슈레딩Ep03,Ep03,경돼 다이어트,경돼 칼로리,칼로리 관리",PT11M4S,4167,90,9,41
vNZ2er_xyYQ,"돌아온 내추럴의 시대, 찐추럴이 가져야 할 자세(운동에 삶을 갉아먹히지 말자)",2020-08-08T13:03:40Z,"#돌아온내추럴 #내추럴 
여러분 안녕하세요 경돼입니다.

운동에 삶을 갉아먹히지 말자



화팅~!


 Be more positive.



-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,돌아온 내추럴,내추럴,내추럴 운동,네추럴,네츄럴,경돼 내추럴,돌내",PT4M40S,5580,153,13,44
fwDjvswIso8,9kg 감량후 그 첫 이야기(2020 썸머슈레딩 Ep02),2020-08-07T10:47:20Z,"여러분 안녕하세요 경돼입니다.


8/8대란에 맞춰 마이프로틴 행사 안내 드립니다!


*8/7 20:00 ~ 8/8 24:00 마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!

DWUV-R2 (회원가입시 코드 입력)
42% 추가 할인코드: KWLee (결제창 할인코드란 입력) 



-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779


-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,다이어트 부작용,다이어트,경돼 썸머슈레딩,또머슈레딩,썸머슈레딩,summershredding,korean vlog,diet,비포애프터,대회준비,마이프로틴,마이프로틴 행사",PT7M59S,3870,87,7,44
ZviULrv6bMQ,안 맞던 옷이 맞기 시작했다(어깨운동)│2020 썸머슈레딩 Ep01,2020-08-01T13:45:03Z,"여러분 안녕하세요 경돼입니다.

드디어 시작된 썸머슈레딩 에피소드... 이번에는 어떻게 될까요?!

1주에 1편씩 공개됩니다.
(바쁘면 2주에 1편...^^)


모두 다이어트 힘내고, 남은 여름도 화이팅 하세요!



감사합니다.
경돼 올림.

Be more positive.



-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,다이어트,썸머슈레딩,경돼 썸머슈레딩,korean,korean workout,korean vlog,workout vlog,summer shredding,2020 썸머슈레딩,Ep01",PT11M53S,5787,106,6,50
_q0hwb68qnQ,저도 대회 준비 할 수 있을까요?(경돼 피지크?),2020-07-26T15:49:03Z,"#경돼 #대회준비 #중대발표
여러분 안녕하세요 경돼입니다.

신선한 충격으로 다가올 이번 영상.....
운동 재미나게 한번 해보겠습니다!!


가즈아!!


Be more positive.

-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,경돼 피지크,경돼 대회,운동 브이로그",PT7M4S,9396,193,12,95
qj9YZrVF46k,회사다니면서 55일 동안 다이어트(-9kg 감량),2020-07-25T09:16:40Z,"#썸머슈레딩 #다이어트 #비포애프터

여러분 안녕하세요 경돼입니다.


55일간의 다이어트를 마쳤습니다.

스토리는 천천히 영상으로 풀어가도록 하겠습니다.


썸머슈레딩.... 항상 실패하였지만 이번에는 끝까지 가보겠습니다!


모두 화이팅

Be more positive.



-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779


-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,다이어트,직장인 다이어트,현실 다이어트,다이어트 조언,썸머슈레딩,경돼 썸머슈레딩,경돼 다이어트,다이어트 경과,비포애프터,beforeafter,body transformation",PT1M28S,59497,317,9,92
1mk-mrXFmkQ,"다음을 준비하는 중(feat. 구독자, 마이프로틴 대란)",2020-07-05T14:00:37Z,"여러분 안녕하세요 경돼입니다.

다음을 준비한다면 과연 무엇일까요?!


지금까지 나태했던 저를 반성하고, 다이어트에 다시 돌입합니다...ㅎㅎ

사실은 이미 진행중이에요 6월 1일부터 시작했고, 1차 목표는 7월 25일까지 55일 챌린지를 마치는 것이고, 2차는 8월 1일부터 한 달 간 썸머슈레딩2020을 진행하는 것이에요.

두 단계로 나눈 이유는... 워낙 살이 많이 찐 상태라 어느정도 살을 빼서 몸을 드러내고, 그 뒤에 더 자신있게 진행하기 위함입니다 ㅎㅎ

아직 시작 못하신 분들께서는 7월 6일(월)부터 진행하기를 바라며...

모두 화이팅!!

Be more positive.


PS) 마이프로틴 대란이 있으니, 프로틴 구입하셔야 하는 분들은 아래 링크 이용해서 구입해주시기 바랄게요!

*마이프로틴 구매 링크 http://bit.ly/KWLee
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 



-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,마이프로틴,마이프로틴 할인,마이프로틴 할인코드,다이어트,썸머슈레딩,썸머슈레딩 2020,다음",PT10M15S,4050,119,11,76
RN64_7xoHEw,다시 여행갈 수 있을까!? 일본 고베 브이로그2편(마이프로틴 대란),2020-06-06T04:33:12Z,"여러분 안녕하세요 경돼입니다.

드디어 편집을 마친 고베 브이로그 2편....

2019년 12월 크리스마스에 갔다 온 것이니 걱정하지 않으셔도 돼요 ㅎㅎ

다시 편하게 여행할 그날을 기다리며!

2020년 6월 6일 24:00 까지 마이프로틴 대란이 있습니다!
아래 링크 이용해서 저렴하게 구입하세요 ^^
*마이프로틴 구매 링크 http://bit.ly/KWLee

가입시 추천인코드: DWUV-R2 (회원가입시 입력)
43% 추가 할인코드: KWLee (결제창 할인코드란 입력) 


-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------

Song: SKANDR - Your Love
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/HV5YPsaEOrI

Song: Jarico - Island (Vlog No Copyright Music)
Music promoted by Vlog No Copyright Music.
Video Link: https://youtu.be/gZlDn4EmTvo

Song: Jarico - Landscape (Vlog No Copyright Music)
Music promoted by Vlog No Copyright Music.
Video Link: https://youtu.be/EwRdKJURDHw","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,일본,고베여행,고베 브이로그,고베 영상,일본 영상,경돼 고베,경돼 오사카,오사카 영상,이걸 지금봤네,마이프로틴",PT16M31S,3295,73,15,36
KvLyGsiISkI,"나의 동료, 주말 일상 브이로그(VLOG)",2020-05-31T15:12:30Z,"여러분 안녕하세요 경돼입니다.

새로운 한주도 화이팅 하시기를...!


BE MORE POSITIVE.

-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------

Song: mISHØ & Isaac Warburton - Falling
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/78u2s1CFBpk

Track: Besomorph & Arcando & Neoni - Army [NCS Release]
Music provided by NoCopyrightSounds.
Watch: https://youtu.be/4EDOIftYA4A
Free Download / Stream: http://ncs.io/Army","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,직장인,운동하는 직장인,주말 브이로그,주말 vlog,korean creator,korean youtuber,주말 일상",PT5M58S,4081,121,12,35
v1e_MQN_VGU,"쉬어가는 직장인 브이로그(feat. 대박이, 쏙)",2020-05-24T15:46:34Z,"여러분 안녕하세요 경돼입니다.

3월에 찍어 둔 영상 몇가지로 근황을 전합니다 ^^


모두 화이팅!!

-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
40% 이상 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,브이로그,직장인 브이로그,짜집기 영상",PT5M20S,2977,102,5,32
95HaaiPUdXw,고독한리프터 개발자를 만나다(운동 VLOG/ 마이프로틴 할인),2020-05-04T14:08:47Z,"여러분 안녕하세요 경돼입니다.

오늘은 고독한 리프터 개발자 김주용님을 만나서 함께 운동하고 인터뷰하는 시간을 가졌습니다!

2020년 5월 4일 20시 ~ 5일 24시 까지 상반기 최대 할인 진행 중!!

*마이프로틴 구매 링크 http://bit.ly/KWLee
링크타고 저렴하게 구입하세요!!
추천인코드: DWUV-R2 (회원가입시 입력)
43% 추가 할인코드: KWLee (결제창 할인코드란 입력) 

-------------------------------------------------------------------------------

닭가슴살/도시락은 미트리에서 http://bit.ly/metreeKD
최대 50%이상 할인 가입 추천코드 -  100152779


-------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,마이프로틴,마프 할인코드,마이프로틴 할인,고독한리프터,경돼 3대중량,고독한리프터 앱,어플 개발자,고독한리프터 개발자,운동 로그,운동 vlog",PT7M9S,4655,98,9,31
